CB 1 % withdrawn,CB 2 % withdrawn,keff
58.88,58.88,1.00367
"3508
","9974
","0.998657507937
"
"3763
","9140
","0.999255048571
"
"3973
","8568
","0.999578799108
"
"4212
","8183
","1.00048398035
"
"4417
","7792
","1.00456087748
"
"4613
","7473
","1.00390220272
"
"4811
","7199
","1.00407357566
"
"4995
","6933
","1.00441340638
"
"5176
","6702
","1.00514147483
"
"5364
","6480
","1.00667621878
"
"5558
","6263
","1.00679985398
"
"5756
","6052
","1.0066541471
"
"5955
","5849
","1.004120658
"
"6144
","5653
","1.00665769143
"
"6359
","5473
","1.00676596091
"
"6574
","5276
","1.00650324954
"
"6813
","5092
","1.00337213229
"
"7024
","4899
","1.00415531173
"
"7235
","4732
","1.00394275533
"
"7472
","4578
","1.00386729286
"
"7735
","4406
","1.0041486875
"
"8044
","4229
","1.00065695247
"
"8404
","4038
","0.999666589709
"
"8836
","3821
","0.99933094036
"
"9352
","3614
","0.998944761888
"
"9963
","3406
","0.995940833999
"
"9963
","3406
","0.995941848202
"
